model,wer
model_20251115_193010_best.pt,0.3845686512758202
model_20251115_193010_last.pt,0.35419198055893075
model_20251115_203725_best.pt,0.33292831105710813
model_20251115_203725_last.pt,0.3292831105710814
model_20251115_212514_best.pt,0.350546780072904
model_20251115_212514_last.pt,0.330498177399757
model_20251115_221848_best.pt,0.3687727825030377
model_20251115_221848_last.pt,0.33657351154313486
model_20251115_230658_best.pt,0.3450789793438639
model_20251115_230658_last.pt,0.32624544349939244
transduction_model.pt,FAILED
